Activity,Day,Start,End,Location,Age,Price,Prebooking,Latitude,Longitude
Babytime,Wednesday,11:00,11:30,Kitsilano library,0 - 18m,0,No,49.26483299,-123.1687595
Babytime,Thursday,11:00,11:30,Kitsilano library,0 - 18m,0,No,49.26483299,-123.1687595
Babytime,Friday,10:00,10:30,Dunbar library,0 - 18m,0,No,49.24613635,-123.1854932
Babytime,Friday,10:30,11:00,West point grey library,0 - 18m,0,No,49.26389551,-123.2109477
Storytime,Wednesday,11:15,11:45,West point grey library,all ages,0,No,49.26389551,-123.2109477
Storytime,Friday,11:00,11:30,Dunbar library,all ages,0,No,49.24613635,-123.1854932
Storytime,Sunday,11:00,11:30,Kitsilano library,all ages,0,No,49.26483299,-123.1687595
Open gym,Tuesday,10:00,11:30,Wesbrook community centre,0 - 5yr,3.5,No,49.25421472,-123.2375167
Open gym,Thursday,10:00,11:30,Wesbrook community centre,0 - 5yr,3.5,No,49.25421472,-123.2375167
Babytime,Thursday,10:00,11:00,Wesbrook community centre,0 - 12mo,0,No,49.25421472,-123.2375167
Storytime,Friday,10:00,11:00,Old barn community centre,all ages,0,No,49.25918142,-123.2484672
Open gym,Sunday,10:00,11:30,Old barn community centre,0 - 5yr,3.5,No,49.25918142,-123.2484672
Gymnastics,Wednesday,11:00,12:00,UBC school of kinesiology,0-13 years,5,Yes,49.26052841,-123.2435157
Open gym,Saturday,9:00,11:00,Dunbar community centre,6mo - 6yr,3,No,49.24394298,-123.1856998
Open gym,Tuesday,9:30,11:00,Kitsilano community centre,6mo - 5yr,3,No,49.2624962,-123.161867
Open gym,Thursday,10:30,12:00,Kitsilano community centre,6mo - 5yr,3,No,49.2624962,-123.161867
Open gym,Saturday,10:30,12:00,Kitsilano community centre,6mo - 5yr,3,No,49.2624962,-123.161867
Open gym,Sunday,9:30,11:00,West point grey community centre,6mo - 5yr,3.75,No,49.27175598,-123.2040787
Open gym,Saturday,9:30,11:00,West point grey community centre,6mo - 5yr,3.75,No,49.27175598,-123.2040787
Family playtime,Monday,10:00,11:30,Kitsilano neighborhood house,0 - 6yr,2,Yes,49.2660932,-123.1579386
Family playtime,Wednesday,10:00,11:30,Kitsilano neighborhood house,0 - 6yr,2,Yes,49.2660932,-123.1579386
Family playtime,Friday,10:00,11:30,Kitsilano neighborhood house,0 - 6yr,2,Yes,49.2660932,-123.1579386
Mama papa goose,Wednesday,13:30,14:30,Westside family place,0 - 12mo,4,Yes,49.26258159,-123.1687769
Music,Thursday,12:30,13:30,Westside family place,18m - 4yr,10,Yes,49.26258159,-123.1687769
Family playtime,Monday,9:30,12:00,Westside family place,0 - 5yr,4,Yes,49.26258159,-123.1687769
Family playtime,Tuesday,9:30,12:00,Westside family place,0 - 5yr,4,Yes,49.26258159,-123.1687769
Family playtime,Wednesday,9:30,12:00,Westside family place,0 - 5yr,4,Yes,49.26258159,-123.1687769
Family playtime,Thursday,9:30,12:00,Westside family place,0 - 5yr,4,Yes,49.26258159,-123.1687769
Family playtime,Friday,9:30,12:00,Westside family place,0 - 5yr,4,Yes,49.26258159,-123.1687769
Family playtime,Tuesday,13:30,15:00,Westside family place,0 - 18m,4,Yes,49.26258159,-123.1687769
Gymnastics,Thursday,11:30,12:25,St. James community square,1 - 12yr,13,Yes,49.2634573,-123.1762369
Family playtime,Wednesday,12:00,13:30,Chorus and clouds,0 - 5yr,0,No,49.25750433,-123.1015101
